handle,token_proportion,tokens
owocki,0.93360%,"28,567.12"
wzhylx,0.47600%,"14,564.79"
griffgreen,0.29020%,"8,880.57"
ceresstation,0.28840%,"8,823.61"
hexpumpseth3,0.28790%,"8,810.59"
mercury939,0.26900%,"8,230.85"
netkeywork,0.26290%,"8,045.52"
vs77bb,0.24180%,"7,399.28"
bruce-110,0.21130%,"6,465.32"
defi-dad,0.17270%,"5,285.24"
tql511,0.16820%,"5,145.65"
eeks,0.16020%,"4,901.37"
cylpardon,0.15680%,"4,796.79"
imcda,0.15470%,"4,734.14"
evanvannesseth,0.15050%,"4,604.65"
statussceptre,0.13240%,"4,051.48"
mfinestone,0.12520%,"3,831.80"
fantasticpinky,0.12400%,"3,793.82"
davidkieve,0.12370%,"3,785.67"
simona-pop,0.12060%,"3,690.51"
haiyuan,0.12040%,"3,684.81"
wf0523,0.11360%,"3,477.67"
nodar,0.11130%,"3,405.38"
zerogone9,0.10870%,"3,325.05"
fmeserver,0.10830%,"3,314.14"
bitcoinlouie,0.10820%,"3,312.00"
pelsasser,0.10820%,"3,309.54"
benlakoff,0.10760%,"3,291.43"
sassal,0.10680%,"3,266.87"
mds1,0.10430%,"3,193.00"
lex-tang,0.10220%,"3,128.81"
r22d,0.09890%,"3,027.81"
iamonuwa,0.09550%,"2,922.60"
free999enigma,0.09550%,"2,922.24"
chloethedev,0.09490%,"2,904.46"
jagtapper,0.09400%,"2,877.33"
robsecord,0.09320%,"2,851.22"
ls569333469,0.09230%,"2,823.56"
neozaru,0.09170%,"2,804.67"
julietea,0.09100%,"2,783.57"
froomranch,0.09040%,"2,766.73"
spencer12noon,0.08960%,"2,741.62"
tjayrush,0.08940%,"2,736.48"
someresat,0.08880%,"2,716.77"
smilexiaomi6666,0.08840%,"2,703.64"
boqing201911,0.08760%,"2,681.84"
mrfisherr,0.08760%,"2,681.84"
libby08,0.08300%,"2,540.12"
spolrot,0.08260%,"2,528.39"
pixelantdesign,0.07920%,"2,423.09"
goldmant,0.07800%,"2,387.49"
azeemfi,0.07700%,"2,354.79"
nopslip,0.07690%,"2,353.21"
ethereumkev,0.07680%,"2,351.18"
luoan26,0.07620%,"2,332.98"
stormchaser777,0.07590%,"2,322.08"
chekou,0.07550%,"2,311.18"
yalormewn,0.07550%,"2,309.67"
cleanappio,0.07500%,"2,296.41"
itsoso,0.07480%,"2,289.38"
hao0fan,0.07450%,"2,278.47"
substreight,0.07360%,"2,252.18"
status6,0.07340%,"2,245.77"
tarasbob,0.07330%,"2,243.51"
charalene,0.07300%,"2,234.87"
the-sunking,0.07300%,"2,234.87"
skyminert,0.07290%,"2,230.07"
vrortvedt,0.07280%,"2,227.19"
lamhowin,0.07270%,"2,223.97"
bearsinging,0.07230%,"2,213.06"
misterigl,0.07230%,"2,211.07"
jeff-emmett,0.07210%,"2,206.02"
1.51E+10,0.07170%,"2,192.67"
lujy338,0.07130%,"2,180.36"
tvanepps,0.07060%,"2,160.73"
